,Unnamed: 0,Name,Latitude,Longitude,Province/Territory_x,ID_NEW,Name2
0,1053,Beaver Creek,62.41,-140.87,YT,YXQ,Beaver Creek
1,2125,Burwash ,62.41,-140.87,YT,WDB,
2,651,Margaret Lake,68.8,-140.85,YT,WZR,Margaret Lake
3,519,Ivvavik Nat. Park,69.16,-140.15,YT,WOI,Ivvavik National Park
4,2132,Kings Point,69.16,-140.15,YT,WOP,
5,522,Dawson,64.05,-139.13,YT,WON,Dawson
6,810,Dawson City,64.04,-139.13,YT,YDA,Dawson Rock Creek
7,812,Destruction Bay,61.37,-139.04,YT,YDB,
8,292,Burwash Airport Auto,61.37,-139.03,YT,YBR,Brandon
9,464,Herschel Island,69.57,-138.91,YT,WJN,Herschel Island
10,443,Haines Junction,60.77,-137.58,YT,WHT,Haines Junction   Pine Creek   Pon Lake
11,2131,James Creek,60.79,-137.55,YT,WTJ,
12,1007,Shingle Point,68.95,-137.22,YT,YUA,Shingle Point
13,2124,Babbage River,60.87,-137.13,YT,WAT,
14,560,Rock River,66.98,-136.22,YT,WRR,Rock River
15,676,Carmacks Cs,62.12,-136.19,YT,XCK,Carmacks
16,915,Mayo,63.62,-135.87,YT,YMA,Mayo
17,502,Pelly Island,69.62,-135.44,NT,WND,Pelly Island
18,339,Whitehorse Auto,60.73,-135.1,YT,YXY,Whitehorse
19,875,Aklavik,68.22,-135.01,NT,YKD,Aklavik
20,1641,Fort Providence,67.41,-134.86,NT,YPV,
21,2129,Haines Junction ,60.42,-133.75,YT,YHT,
22,2134,Komakuk Beach,60.42,-133.75,YT,WKM,
23,1248,Beatton River,59.58,-133.67,BC,YZC,
24,1657,Johnson Point,68.32,-133.52,NT,YUN,
25,755,Trail Valley,68.75,-133.5,NT,XTY,
26,827,Inuvik,68.3,-133.48,NT,YEY,Amos Sainte-Gertrude-Manneville
27,1658,Keats Point,68.3,-133.48,NT,WKP,
28,596,Faro (Aut),62.21,-133.38,YT,WUM,Faro
29,468,Langara Island Rcs,54.26,-133.06,BC,WJU,Langara Island Masset
30,1327,Liard River,54.26,-133.06,BC,YZL,
31,1008,Tuktoyaktuk,69.43,-133.03,NT,YUB,Tuktoyaktuk
32,1680,Tuktoyaktuk,69.43,-133.02,NT,YTW,
33,550,Kindakun Rocks (Aut),53.32,-132.77,BC,WQS,Kindakun Rocks Queen Charlotte
34,1324,Langara Island,53.32,-132.77,BC,WLA,
35,1085,Teslin,60.17,-132.74,YT,YZW,Teslin
36,655,Teslin (Aut),60.17,-132.74,YT,WZW,Teslin
37,2138,Whitehorse,60.17,-132.74,YT,WXY,
38,2137,Sheldon Lake,61.93,-132.5,YT,FS7,
39,1336,Merry Island,54.03,-132.13,BC,WMY,
40,1291,Dease Lake,53.37,-131.93,BC,WDL,
41,344,Sandspit Airport Auto,53.25,-131.81,BC,YZP,Sandspit
42,1383,Saturna Island,53.25,-131.81,BC,VTS,
43,1338,Mt Washington,59.5,-131.77,BC,VOJ,
44,1339,Mule Creek,59.5,-131.77,BC,BS4,
45,559,Rose Spit (Aut),54.16,-131.66,BC,WRO,Rose Spit Masset
46,1381,Sand Heads Lightstation,54.2,-131.65,BC,WVF,
47,647,Cumshewa Island,53.03,-131.6,BC,WZL,Cumshewa Island Sandspit
48,1318,Ivory Island,52.53,-131.55,BC,WJG,
49,1389,Sikanni Chief,52.45,-131.23,BC,WKS,
50,1399,Texada,57.9,-131.15,BC,YGB,
51,654,Cape St James Cs,51.94,-131.02,BC,WZY,Bull Arm Sunnyside
52,1661,Macmillan Pass,69.6,-130.91,NT,WNV,
53,486,Liverpool Bay,69.6,-130.89,NT,WLI,Liverpool Bay
54,1304,Helmcken Island,54.57,-130.71,BC,WXM,
55,399,Grey Islet (Aut),54.58,-130.7,BC,WEK,Grey Islet Metlakatla
56,1305,Holberg,54.58,-130.7,BC,WHJ,
57,622,Bonilla Island (Aut),53.49,-130.64,BC,WWL,Bonilla Island
58,482,Lucy Island Lightstation,54.3,-130.61,BC,WLC,Lucy Island Lightstation Metlakatla
59,946,Prince Rupert,54.29,-130.44,BC,YPR,Prince Rupert Metlakatla
60,1368,Pulteney Point,54.29,-130.44,BC,WKT,
61,438,Holland Rock,54.17,-130.36,BC,WHL,Holland Rock Port Edward
62,1310,Hope Slide,54.17,-130.36,BC,WKV,
63,1262,Burns Lake,56.97,-130.25,BC,YPZ,
64,485,Little Chicago,67.18,-130.23,NT,WLG,Little Chicago
65,1660,Lutselk'E,67.18,-130.23,NT,XLU,
66,2136,Ross River,60.08,-130.17,YT,YDM,
67,513,Macmillan Pass,63.24,-130.04,YT,WNY,
68,1663,Mould Bay,63.24,-130.04,NT,WMD,
69,816,Dease Lake,58.42,-130.03,BC,YDL,Dease Lake
70,480,Dease Lake (Aut),58.43,-130.03,BC,WKX,Dease Lake
71,414,Sartine Island (Aut),50.82,-128.91,BC,WFG,Sartine Island San Josef
72,956,Watson Lake,60.12,-128.82,YT,YQH,Watson Lake
73,737,Watson Lake (Aut),60.12,-128.82,YT,XQH,Watson Lake
74,2141,Whitehorse,60.12,-128.82,YT,VXY,
75,1325,Langley,54.05,-128.68,BC,YNJ,
76,835,Fort Good Hope,66.24,-128.65,NT,YGH,Fort Good Hope
77,1638,Fort Liard,66.24,-128.64,NT,WJF,
78,1055,Terrace,54.47,-128.58,BC,YXT,Terrace
79,1400,Toad River,54.47,-128.58,BC,WBP,
80,1260,Bonilla Island,52.65,-128.52,BC,WVB,
81,1277,Cassiar,50.78,-128.43,BC,AU9,
82,38,Bella Bella,52.19,-128.16,BC,BBC,Bella Bella Campbell Island
83,1294,Ethelda Bay,52.19,-128.11,BC,WTC,
84,1253,Blackcomb,52.15,-128.08,BC,VOC,
85,1252,Big Creek,52.14,-128.06,BC,WBG,
86,1373,Quesnel,50.44,-128.03,BC,VQZ,
87,562,Solander Island (Aut),50.11,-127.94,BC,WRU,Solander Island Winter Harbour
88,1242,Alert Bay,51.6,-127.87,BC,YAL,
89,1243,Allison Pass,51.6,-127.86,BC,YJZ,
90,1295,Fairmont Hot Springs,51.25,-127.84,BC,YCZ,
91,1350,Osv P 17,52.35,-127.7,BC,4YP,
92,489,Herbert Island (Aut),50.94,-127.63,BC,WLP,Herbert Island Port Hardy
93,493,Cathedral Point (Aut),52.19,-127.47,BC,WME,Cathedral Point Ocean Falls
94,1279,Chrome Island,52.19,-127.47,BC,WOG,
95,1396,Steamboat,50.0,-127.42,BC,WCK,
96,1082,Port Hardy,50.68,-127.37,BC,YZT,Port Hardy
97,1362,Prince George,50.68,-127.37,BC,VXS,
98,543,Rabbit Kettle,61.96,-127.21,NT,WQF,Rabbit Kettle
99,341,Smithers Airport Auto,54.82,-127.19,BC,YYD,Smithers
100,1371,Qualicum,50.63,-127.15,BC,VOQ,
101,1246,Atlin,50.58,-126.92,BC,EY5,
102,1025,Norman Wells,65.28,-126.8,NT,YYQ,Churchill
103,90,Norman Wells Climate,65.29,-126.75,NT,NYQ,
104,1668,Port Radium,65.28,-126.75,NT,YZJ,
105,1349,Ootsa Lakeskins Lake,49.6,-126.62,BC,VSL,
106,289,Bella Coola Airport,52.39,-126.59,BC,YBD,Bella Coola Hagensborg
107,1255,Blackcomb,52.39,-126.59,BC,VOI,
108,393,Estevan Point Cs,49.38,-126.54,BC,WEB,Estevan Point Gold River
109,1296,Fauquier,49.38,-126.54,BC,WFS,
110,1392,Sparwood Elk Valley,59.9,-126.43,BC,YSW,
111,1018,Colville Lake,67.02,-126.13,NT,YYL,Lynn Lake
112,420,Colville Lake,67.02,-126.12,NT,WFX,Colville Lake
113,1406,Vancouver,59.38,-126.12,BC,VWC,
114,330,Ootsa Lake Skins Lake,53.77,-126.0,BC,YSL,St. Leonard St Leonard Saint Leonard
115,692,Fanny Island,50.45,-125.99,BC,XFA,Fanny Island Sayward
116,539,Burns Lake Decker Lake,54.38,-125.96,BC,WPZ,Burns Lake
117,1264,Callaghan Valley,54.38,-125.95,BC,VOF,
118,1398,Terrace,55.47,-125.95,BC,WSX,
119,1306,Holberg,50.4,-125.87,BC,WXH,
120,1265,Callaghan Valley,54.23,-125.77,BC,VOK,
121,1342,Nanakwa Shoals,58.93,-125.77,BC,WCB,
122,776,Port Alberni,49.08,-125.77,BC,YAZ,Tofino
123,1247,Atlin,48.92,-125.54,BC,YSQ,
124,1407,Vancouver Harbour,48.93,-125.52,BC,YHC,
125,1642,Fort Providence,64.9,-125.5,NT,YJP,
126,1341,Nanaimo Harbour,49.75,-125.29,BC,WNA,
127,1674,St Charles Creek,71.98,-125.28,NT,WMV,
128,782,Campbell River,49.95,-125.27,BC,YBL,Campbell River
129,1272,Cape Scott,49.95,-125.27,BC,WES,
130,1673,Snare River,71.99,-125.25,NT,YFU,
131,994,Sachs Harbour,71.99,-125.24,NT,YSY,Sachs Harbour
132,1675,Storm Hills,71.99,-125.24,NT,WVH,
133,1403,Triple Island,58.85,-125.23,BC,WTI,
134,1274,Carmanah Point,50.0,-125.2,BC,WUC,
135,1276,Carmi,50.0,-125.2,BC,YXO,
136,541,Port Alberni Airport (Aut),49.32,-124.93,BC,WQC,Port Alberni Sproat Lake
137,965,Comox,49.71,-124.89,BC,YQQ,Comox
138,1281,Cypress Bowl Freestyle,49.71,-124.89,BC,VOZ,
139,1273,Cape St James,49.7,-124.87,BC,WZV,
140,1345,Nitinat Lake,53.68,-124.83,BC,WAC,
141,1348,Old Glory Mtn,48.67,-124.83,BC,YOG,
142,1360,Port Mellon,49.25,-124.83,BC,VOM,
143,1361,Powell River ,49.25,-124.8,BC,VOP,
144,472,Grief Point,49.8,-124.53,BC,WKA,Grief Point Powell River
145,1402,Trial Island,49.69,-124.52,BC,WIN,
146,316,Powell River,49.83,-124.5,BC,YOP,Rainbow Lake
147,947,Powell River,49.83,-124.5,BC,YPW,Powell River   Westview
148,1364,Prince George,49.83,-124.5,BC,XPG,
149,683,Deadmen Valley,61.26,-124.47,NT,XDK,Deadmen Valley
150,431,Sisters Island,49.49,-124.43,BC,WGT,Sisters Island Lasqueti
151,751,Tatlayoko Lake Rcs,51.67,-124.4,BC,XTL,Tatlayoko Lake
152,317,Qualicum Beach Airport,49.34,-124.39,BC,YOQ,Eddy Point
153,297,Fort St James Auto,54.46,-124.29,BC,YFS,Fort Simpson
154,1677,Trail Valley,64.78,-124.22,NT,XTV,
155,422,Ballenas Island,49.35,-124.16,BC,WGB,Ballenas Island Parksville
156,1251,Bella Bella,49.35,-124.16,BC,YJQ,
157,537,Puntzi Mountain Airport (Aut),52.11,-124.14,BC,WPU,Puntzi Mountain Alexis Creek
158,1372,Quatsino Lightstation,52.11,-124.14,BC,WIF,
159,938,Paulatuk,69.36,-124.08,NT,YPC,Paulatuk
160,1669,Powder Lake,69.36,-124.08,NT,WMP,
161,1670,Qavvik Lake,69.36,-124.07,NT,XQA,
162,1292,Dryad Point,49.23,-123.95,BC,WAU,
163,589,Tetsa River,58.65,-123.95,BC,WTH,Tetsa River (Mile 375 Alaska Hwy) Summit Lake
164,575,Sheringham Point,48.38,-123.92,BC,WSP,Sheringham Point River Jordan
165,795,Nanaimo,49.05,-123.87,BC,YCD,Nanaimo Extension
166,400,Entrance Island,49.21,-123.81,BC,WEL,Entrance Island Gabriola
167,1340,Muncho Lake,48.86,-123.76,BC,WWQ,
168,768,Yohin,61.24,-123.74,NT,XYH,Yohin
169,314,North Cowichan,48.82,-123.72,BC,YOO,Oshawa Toronto
170,318,Sechelt Aut,49.46,-123.72,BC,YOU,
171,1390,Silver Star Mountain,49.45,-123.7,BC,XSS,
172,477,Malahat,48.57,-123.53,BC,WKH,Malahat Cliffside
173,1335,Mcinnes Island,48.57,-123.53,BC,WMS,
174,545,Race Rocks,48.3,-123.53,BC,WQK,Race Rocks Metchosin
175,313,Port Mellon,49.53,-123.5,BC,YOM,
176,463,Fort Liard,60.24,-123.47,NT,WJL,Fort Liard
177,872,Fort Liard,60.24,-123.47,NT,YJF,Fort Liard
178,1640,Fort Providence,60.23,-123.47,NT,XFP,
179,2008,Lemieux,48.65,-123.45,QC,WVY,
180,1038,Deline,65.21,-123.44,NT,YWJ,Fort Franklin   Deline
181,530,Esquimalt Harbour,48.43,-123.44,BC,WPF,Victoria Esquimalt
182,1418,Victoria,48.43,-123.44,BC,YVI,
183,1044,Wrigley,63.21,-123.44,NT,YWY,Wrigley
184,681,Deline Cs,65.21,-123.43,NT,XDE,Deline
185,1634,Ekati ,65.21,-123.43,NT,YOA,
186,1068,Saanich,48.65,-123.43,BC,YYJ,Victoria Sidney
187,1036,Victoria,48.42,-123.39,BC,YWH,Victoria Esquimalt
188,488,Victoria Gonzales Cs,48.41,-123.32,BC,WLM,Victoria Oak Bay
189,1419,Victoria,48.41,-123.32,BC,YIR,
190,354,Howe Sound - Pam Rocks,49.49,-123.3,BC,WAS,Pam Rocks Lions Bay
191,1330,Lytton,49.49,-123.3,BC,VLY,
192,1352,Pemberton,49.49,-123.3,BC,YPS,
193,603,Sandheads Cs,49.11,-123.3,BC,WYF,Thomsen River
194,640,Victoria University Cs,48.46,-123.3,BC,WYJ,Victoria Oak Bay
195,1420,Victoria,48.46,-123.3,BC,WIR,
196,568,Point Atkinson,49.33,-123.26,BC,WSB,Point Atkinson Hollyburn
197,649,Kelp Reefs,48.55,-123.24,BC,WZO,Kelp Reefs Yacht Haven
198,1322,Kitimat,48.55,-123.24,BC,WKI,
199,386,Discovery Island,48.42,-123.23,BC,WDR,Discovery Island Oak Bay
200,1293,Egg Island,48.42,-123.23,BC,WEM,
201,1285,Cypress Bowl South,49.39,-123.21,BC,VOG,
202,1410,Vancouver,49.3,-123.2,BC,MOC,
203,1288,Dawson Creek,49.38,-123.19,BC,VDQ,
204,334,Vancouver Sea Island Ccg,49.18,-123.19,BC,YVR,Vancouver Richmond
205,1409,Vancouver,49.18,-123.19,BC,WVR,
206,616,West Vancouver Aut,49.35,-123.19,BC,WWA,West Vancouver Campbell Scient Hollyburn
207,1424,Whistler Mountain,49.35,-123.19,BC,VOB,
208,1027,Richmond,49.19,-123.18,BC,YYR,Goose Happy Valley-Goose Bay
209,1423,Whistler Mountain,49.35,-123.18,BC,VOA,
210,572,Squamish Airport,49.78,-123.16,BC,WSK,Squamish Brackendale
211,1334,Masset Airport,55.3,-123.13,BC,WMA,
212,332,Saturna Capmon,48.78,-123.13,BC,YTS,Timmins
213,1388,Sechelt,48.78,-123.13,BC,VOU,
214,331,Tsawwassen Ferry Auto,49.0,-123.13,BC,YTF,Alma Naudville
215,1268,Callaghan Valley,50.01,-123.12,BC,VOX,
216,1270,Cape Mudge,50.15,-123.12,BC,WYA,
217,436,Vancouver Harbour Cs,49.3,-123.12,BC,WHC,Vancouver Harbour North Vancouver
218,309,Callaghan Valley,50.14,-123.11,BC,YOD,Cold Lake Medley
219,1266,Callaghan Valley,50.14,-123.11,BC,VOV,
220,1267,Callaghan Valley,50.14,-123.11,BC,VOW,
221,1269,Callaghan Valley,50.14,-123.11,BC,VOY,
222,1384,Scarlett Point,48.77,-123.11,BC,WUD,
223,1408,Vancouver,49.29,-123.11,BC,VMO,
224,1413,Vernon,49.18,-123.08,BC,YVK,
225,410,Saturna Island,48.78,-123.05,BC,WEZ,Saturna Island Waldron
226,1386,Scudder Point,48.78,-123.05,BC,WZD,
227,1387,Sechelt,48.78,-123.04,BC,VOS,
228,1263,Callaghan Valley,49.07,-123.01,BC,VOD,
229,286,Delta Burns Bog,49.13,-123.0,BC,YBB,Kugaaruk Pelly Bay ( -1999) West Simpson
230,1256,Blue River,50.13,-122.95,BC,WSV,
231,306,Whistler - Nesters,50.13,-122.95,BC,YOC,Old Crow
232,1425,Whistler Mountain,50.15,-122.95,BC,VOH,
233,1426,Whistler Mountain,50.13,-122.95,BC,VOL,
234,1427,Whistler Mountain,50.08,-122.95,BC,VOT,
235,1257,Boat Bluff,50.1,-122.94,BC,WZP,
236,349,Whistler  ,50.17,-122.9,BC,WAE,
237,346,Mackenzie Airport Auto,55.31,-122.86,BC,YZY,Mackenzie
238,714,Lindburg Landing,61.12,-122.85,NT,XLL,Lindburg Landing
239,1415,Vernon,49.14,-122.85,BC,WVK,
240,323,Prince George Massey Auto,53.9,-122.79,BC,YPX,Puvirnituq   Povungnituk
241,621,White Rock,49.02,-122.78,BC,WWK,White Rock
242,534,Pemberton Airport (Winds),50.3,-122.74,BC,WPN,Pemberton
243,1355,Pine Island,50.3,-122.74,BC,WPI,
244,1356,Pitt Meadows,50.3,-122.74,BC,YPK,
245,429,Pemberton Airport,50.31,-122.73,BC,WGP,Pemberton
246,508,Peace River,56.56,-122.72,BC,WNO,Satah River Tsiigehtchic
247,1358,Port Alberni,49.22,-122.71,BC,YPB,
248,496,Pitt Meadows Cs,49.21,-122.69,BC,WMM,Pitt Meadows
249,1357,Pointer Island,49.21,-122.69,BC,WCC,
250,337,Prince George Airport Auto,53.89,-122.67,BC,YXS,Prince George
251,1063,Fort Nelson,58.84,-122.6,BC,YYE,Fort Nelson
252,296,Fort Nelson,58.84,-122.57,BC,YFN,Cree Lake
253,1299,Fort St James,58.84,-122.57,BC,YJM,
254,1374,Quesnel,53.03,-122.51,BC,WQZ,
255,325,Quesnel Airport Auto,53.03,-122.51,BC,YQZ,Quesnel
256,1377,Revelstoke,53.03,-122.51,BC,YRV,
257,1245,Ashcroft,49.02,-122.49,BC,YZA,
258,1057,Abbotsford,49.03,-122.36,BC,YXX,Abbotsford Clearbrook
259,1240,Aldergrove,49.03,-122.36,BC,WUJ,
260,752,Tuktut Nogait,69.2,-122.36,NT,XTN,Tuktut Nogait
261,1681,Virginia Falls,69.2,-122.36,NT,WFV,
262,1431,Beausejour,52.13,-122.13,MB,YBS,
263,1671,Rampart River,68.25,-122.1,NT,WMU,
264,1429,Arnes,52.18,-122.05,MB,WRE,
265,1430,Bachelors Island,52.18,-122.05,MB,WBL,
266,1042,Williams Lake,52.18,-122.05,BC,YWL,Williams Lake
267,294,Cultus Lake,49.08,-121.98,BC,YCL,Charlo Dalhousie
268,475,Lillooet,50.68,-121.93,BC,WKF,Lillooet
269,1329,Lower Liard Bridge,50.68,-121.93,BC,WBX,
270,1679,Tuktoyaktuk,60.27,-121.8,NT,WUO,
271,643,Agassiz Rcs,49.24,-121.76,BC,WZA,Agassiz
272,1244,Amphitrite Point,49.24,-121.76,BC,WAN,
273,1271,Cape Mudge,56.7,-121.75,BC,WAD,
274,1258,Boat Bluff,51.27,-121.68,BC,WZM,
275,868,Clinton,51.25,-121.68,BC,YIN,Bleibler Ranch
276,804,Chetwynd,55.69,-121.63,BC,YCQ,Chetwynd
277,1280,Clinton,55.69,-121.63,BC,WCL,
278,1332,Lytton,50.22,-121.58,BC,VLS,
279,304,Lytton Rcs,50.22,-121.58,BC,YLY,Lytton
280,72,Clinton,51.14,-121.5,BC,NCN,
281,855,Hope,49.37,-121.5,BC,YHE,Hope
282,1311,Hope,49.37,-121.5,BC,WHF,
283,319,Hope Airport,49.37,-121.49,BC,YPE,Grimshaw
284,1314,Hoskins Islet,49.37,-121.48,BC,WZK,
285,1315,Hoskins Islet,49.37,-121.48,BC,YCJ,
286,1316,Hudson Hope,49.37,-121.48,BC,YNH,
287,280,Ashcroft,50.71,-121.28,BC,YAS,Kangirsuk
288,587,Sambaa K'E,60.43,-121.26,NT,WTE,Trout Lake
289,1313,Horsefly River,49.28,-121.24,BC,WFR,
290,1678,Tuktoyaktuk,60.44,-121.24,NT,WTW,
291,479,Sunshine Valley,49.28,-121.23,BC,WKY,Dryad Point Campbell Island
292,1651,Horton River,67.07,-121.1,NT,WHR,
293,1317,Iskut River,52.0,-121.0,BC,WIO,
294,305,Merritt,50.11,-120.78,BC,YME,Matane
295,1337,Mount Sicker,50.11,-120.78,BC,XSI,
296,1300,Golden,56.24,-120.74,BC,WGE,
297,1048,Peace River,56.24,-120.74,BC,YXJ,Fort St John Baldonnel
298,813,Princeton,49.47,-120.51,BC,YDC,Princeton
299,536,Princeton Cs,49.47,-120.51,BC,WPR,Princeton
300,1369,Puntzi Mountain,49.47,-120.51,BC,YPU,
301,874,Kamloops,50.7,-120.45,BC,YKA,Kamloops North Kamloops
302,1320,Kelowna,50.7,-120.44,BC,WLW,
303,820,Dawson Creek,55.74,-120.18,BC,YDQ,Dawson Creek Pouce Coupe
304,295,Clearwater Auto,51.65,-120.07,BC,YCW,Chilliwack
305,675,Cleardale Agdm,56.31,-119.75,AB,XCD,Cleardale Rolla
306,1155,Cooking Lake,56.31,-119.75,AB,WAL,
307,1353,Pemberton,49.78,-119.73,BC,YTO,
308,597,Summerland Cs,49.56,-119.65,BC,WUS,Summerland
309,1064,Penticton,49.46,-119.6,BC,YYF,Penticton
310,642,Osoyoos Cs,49.03,-119.44,BC,WYY,Osoyoos
311,1351,Peachland Wind,49.03,-119.44,BC,WPW,
312,362,Beaverlodge Rcs,55.2,-119.4,AB,WBM,Beaverlodge
313,303,Kelowna Ubco,49.94,-119.4,BC,YKU,
314,914,Kelowna,49.96,-119.38,BC,YLW,Kelowna Rutland
315,1147,Big Valley,55.18,-119.37,AB,PBV,
316,1665,Nicholson Peninsula,76.24,-119.35,NT,WRP,
317,1666,Nipterk Base,76.25,-119.35,NT,WNI,
318,227,Savanna Agcm,56.08,-119.34,AB,PSW,Savanna Spirit River
319,1206,Seven Persons,56.08,-119.34,AB,PSV,
320,1417,Victoria,50.25,-119.33,BC,WVV,
321,1667,Norman Wells,76.23,-119.32,NT,YVQ,
322,580,Blue River Cs,52.13,-119.29,BC,WSY,Sachs Harbour
323,1259,Bob Quinn Lake,52.12,-119.29,BC,BW4,
